"Source:","C:\Users\marcp\OneDrive - Marc Powell\Projects\midi-controller\PCB_Design\midi-controller_control-board_teensy\midi-controller_control-board_teensy.kicad_sch"
"Date:","5/14/2024 7:10:29 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","A1","Teensy_4.1_THT","MPP_MCU_Module:Teensy_4.1_THT","MPP_Module:Teensy_4.1_THT","https://www.pjrc.com/teensy/pinout.html",""
"2","1","C1","10uF, 50V, 20%","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~",""
"3","1","C2","0.1uF, 25V, 5%","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"4","2","C3, C4","22uF, 6.3V, 20%","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"5","1","D1","RED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"6","1","DS1","ADAFRUIT_2IN_IPS_MODULE","MPP_Display_Graphic:ADAFRUIT_2IN_IPS_MODULE","MPP_Display:ADAFRUIT_2IN_IPS_MODULE","",""
"7","6","H1, H2, H3, H4, H5, H6","MountingHole_Pad_M2.5","MPP_Mechanical:MountingHole_Pad_M2.5","MPP_MountingHole:MountingHole_M2.5","",""
"8","1","J1","Conn_01x40_Socket","Connector:Conn_01x40_Socket","Connector_FFC-FPC:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","~",""
"9","1","J2","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","~",""
"10","1","L1","4.7uH, 2.7A, 100mOhm","Device:L_Small","Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering","~",""
"11","4","R1, R2, R3, R4","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"12","1","R5","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"13","1","SW1","EN16AB-HB","MPP_Device:EN16AB-HB","MPP_Rotary_Encoder:EN16AB-HB","https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Datasheet/EN16AB.pdf",""
"14","1","U1","AP63203WU","Regulator_Switching:AP63203WU","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf",""
